Wahlkreisnummer;Wahlkreisname;AGS;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;gemeldete Wahlbezirke;Anzahl Wahlbezirke;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Erststimmen ungueltige (C);Erststimmen gueltige (D);D1;D2;D3;D4;D5;D6;D7;D8;D9;D11;D12;D13;D16;D17;D20;D21;D22;Zweitstimmen ungueltige (E);Zweitstimmen gueltige (F);F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;
21;21 - Hohenlohe;;;21;WAHLKREIS;21 - Hohenlohe;;169;169;;;N;100476;79319;21157;0;70598;50669;19929;544;70054;13527;27166;4596;2412;16806;1999;2685;;;;;;863;;;;;473;70125;16589;22896;3607;3087;16667;1963;1752;314;206;21;131;402;244;20;60;1095;56;104;40;654;217;
22;22 - Schwäbisch Hall;;;22;WAHLKREIS;22 - Schwäbisch Hall;;182;182;;;N;128196;101879;26316;1;85570;60844;24726;714;84856;17849;31573;4978;3201;18572;3188;2228;;;397;660;514;1696;;;;;560;85010;22987;26267;4164;3602;19205;2761;1478;397;375;32;221;460;391;41;57;1456;76;114;53;702;171;
23;23 - Main-Tauber;;;23;WAHLKREIS;23 - Main-Tauber;;204;204;;;N;108584;77575;27133;3876;70814;47830;22984;929;69885;14990;29103;5011;2832;14164;2603;;;1182;;;;;;;;;570;70244;16313;25668;3902;2484;14360;2196;1868;310;418;37;226;347;85;31;50;845;76;180;53;671;124;
24;24 - Heidenheim;;;24;WAHLKREIS;24 - Heidenheim;;163;163;;;N;92584;72041;20542;1;61264;42054;19210;542;60722;12221;17624;9672;2791;15116;2075;;;;;;;871;;;;352;385;60879;15058;17444;5117;2321;14712;1953;1265;307;175;15;130;229;124;22;38;1122;56;102;49;524;116;
25;25 - Schwäbisch Gmünd;;;25;WAHLKREIS;25 - Schwäbisch Gmünd;;150;150;;;N;109633;81090;28543;0;76994;50137;26857;800;76194;16605;29683;5886;2595;16828;3294;;1303;;;;;;;;;;466;76528;20776;24928;4066;2998;16568;2652;1074;446;202;22;85;344;143;29;46;1091;81;118;43;667;149;
26;26 - Aalen;;;26;WAHLKREIS;26 - Aalen;;175;175;;;N;123249;88237;35012;0;87271;54471;32800;796;86475;17303;36839;6366;3284;18287;3256;;;;;;;1140;;;;;544;86727;21191;31633;4803;3258;17846;2624;1722;288;152;35;85;474;136;32;57;1301;94;161;44;642;149;
38;38 - Neckar-Odenwald;;;38;WAHLKREIS;38 - Neckar-Odenwald;;189;189;;;N;108571;81304;27267;0;74170;48521;25649;740;73430;10110;28803;8970;1953;17722;2385;2905;;;582;;;;;;;;622;73548;15050;24710;5487;2358;18211;2196;2242;275;182;33;182;323;133;25;47;962;62;131;45;745;149;
27;27 - Karlsruhe I;8212000;Karlsruhe, Stadt;27;WAHLKREIS;27 - Karlsruhe I;;137;137;;;N;102394;69346;33048;0;73513;42359;31154;531;72982;29155;17434;6060;2541;8201;6069;1460;;;;2062;;;;;;;294;73219;31198;15163;4113;3051;8029;6400;781;408;169;54;119;1428;138;64;38;968;144;81;54;725;94;
28;28 - Karlsruhe II;8212000;Karlsruhe, Stadt;28;WAHLKREIS;28 - Karlsruhe II;;132;132;;;N;101592;71277;30315;0;69168;40676;28492;637;68531;26917;15653;5398;2707;9510;6867;;;;;1479;;;;;;;320;68848;28679;13087;4015;2699;9159;6190;672;422;128;67;96;1332;105;51;53;990;149;110;66;703;75;
29;29 - Bruchsal;;;29;WAHLKREIS;29 - Bruchsal;;152;152;;;N;114983;79506;35477;0;78106;44805;33301;924;77182;15865;27077;10017;3183;17788;3252;;;;;;;;;;;;531;77575;19421;23776;5054;2936;17308;2840;2072;352;172;35;68;661;142;34;56;1088;97;158;69;1065;171;
